,cumulative_regret,elbo,kl_divergence,nll
3966,2960.0,30648.149810791016,17873.789276123047,12774.360512554646
3967,2960.0,27242.46710205078,17878.120178222656,9364.346889138222
3968,2960.0,29057.66668701172,17849.50552368164,11208.16110676527
3969,2960.0,23527.413848876953,17883.82293701172,5643.5909279584885
3970,2960.0,29562.642608642578,17866.793670654297,11695.849067479372
3971,2960.0,29861.17431640625,17880.012298583984,11981.161980867386
3972,2960.0,29677.00991821289,17885.26629638672,11791.743597149849
3973,2960.0,28520.895080566406,17902.310333251953,10618.58474856615
3974,2955.0,29924.30532836914,17875.4306640625,12048.87478172779
3975,2955.0,26498.883758544922,17850.813873291016,8648.069901108742
3976,2955.0,26692.792419433594,17860.505767822266,8832.286621034145
3977,2955.0,27093.856842041016,17850.669921875,9243.186949908733
3978,2955.0,29524.29217529297,17880.597564697266,11643.694596350193
3979,2955.0,25703.315704345703,17868.779388427734,7834.536296278238
3980,2955.0,26031.49871826172,17857.61880493164,8173.879890710115
3981,2955.0,30817.123657226562,17873.218658447266,12943.905100762844
3982,2955.0,31662.295379638672,17907.72772216797,13754.567582845688
